supplier_name,total_spend,tender_count,agencies_count,on_time_delivery_pct,quality_rating,cost_competitiveness_score
ADVANCE LABORATORY SYSTEM ENGINEERING PTE. LTD.,3116096.0,2,2,82.71,4.73,93.39
ADVANCE LIBRARY SERVICES PTE LTD,51465.97,2,1,94.82,4.15,87.11
ADVANCE MEMBRANE SYSTEM PTE LTD,113800.0,1,1,81.66,3.04,72.77
ADVANCE PINNACLE TECHNOLOGIES PRIVATE LIMITED,1345110.0,3,1,87.08,3.92,90.93
ADVANCE SCREEN PTE LTD,95.8,1,1,92.04,4.38,80.64
ADVANCE SPORTS TECHNOLOGIES PTE. LTD.,2822547.0,7,6,94.93,3.9,74.05
ADVANCE SURVEY CONSULTANT PTE. LTD.,2783736.5,6,5,78.4,3.93,80.78
ADVANCE-TEC ENGINEERING PTE. LTD.,266850.0,1,1,85.32,3.37,89.12
ADVANCED BUSINESS SOFTWARE AND SOLUTIONS PTE. LTD.,763300.0,2,2,84.2,4.44,82.55
ADVANCED CAE PTE. LTD.,280721.0,1,1,82.77,3.71,96.22
ADVANCED CONSTRUCTION & ENGINEERING PTE LTD,3250066.0,3,1,100.0,2.81,88.87
ADVANCED ENGINEERING GROUP (INTERNATIONAL) PTE. LTD.,1346506.26,4,3,91.24,3.88,83.23
ADVANCED MATERIAL ENGINEERING PTE. LTD.,2726885.85,2,2,77.91,4.69,67.74
ADVANCED MICRO FOUNDRY PTE. LTD.,466000.0,1,1,95.34,3.87,76.2
ADVANCED PYROTECHNIC MATERIALS PRIVATE LIMITED,3436213.2,3,1,100.0,5.0,78.72
ADVANCED TECH IRRIGATION GOLF PTE. LTD.,1477320.0,2,1,96.26,4.36,84.97
ADVANCEDATA NETWORK SDN. BHD.,58465.51,3,1,75.85,4.3,84.37
ADVANCELAB (S) PTE. LTD.,709153.0,5,3,84.13,4.02,79.7
ADVANT ENGINEERING PTE. LTD.,1334890.0,3,2,98.14,4.06,79.2
ADVANTAGE HEALTH BENEFITS PTE. LTD.,1951163.0,2,2,82.34,3.94,85.2
ADVANTEST (SINGAPORE) PTE. LTD.,792810.31,1,1,91.55,3.92,69.41
ADVANTI TECHNOLOGY PTE. LTD.,1936899.6,2,1,94.2,4.42,94.96
ADVENTRA PTE. LTD.,5067338.85,2,1,80.58,3.54,57.53
ADVENTURE EDUCATION LLP,1356.0,1,1,87.52,3.45,92.55
ADVENTURE PLUS PTE. LTD.,804025.0,7,2,62.07,3.43,77.55
ADVENTURE SYSTEMS PTE. LTD.,379940.0,2,2,79.8,5.0,88.03
ADVENTURE WORLD,229740.0,1,1,85.98,4.42,81.64
ADVENTURER'S SINGAPORE PTE LTD,3113096.0,2,2,78.02,4.28,81.46
ADVENTURER'S SPORTS & EVENT PTE. LTD.,112618.5,1,1,100.0,3.47,83.54
ADVINNO TECHNOLOGIES PTE. LTD.,1383362.49,4,1,76.56,4.47,86.09
ADVION LTD,269037.0,2,2,84.48,4.03,74.71
ADVOCATUS LAW LLP,1010.0,1,1,89.05,4.23,88.35
ADWYN IMPEX PVT LTD,83383.3,1,1,99.53,3.51,67.16
AE MODELS TEAM PTE LTD,4750834.4,8,3,76.51,4.2,77.95
AECOM COST CONSULTING AND PROJECT MANAGEMENT (SINGAPORE) PTE. LTD.,13457601.57,9,4,97.31,3.85,86.36
AECOM SINGAPORE PTE. LTD.,177091141.21,47,14,88.08,3.64,87.95
AEDAS PTE. LTD.,59095994.5,2,2,80.15,4.54,82.61
AEDGE HOLDINGS PTE LTD,15022003.0,11,8,91.7,3.18,74.07
AEDGE HOLDINGS PTE. LTD.,333085.0,2,2,89.59,4.44,86.97
AEDGE SERVICES PTE. LTD.,1816980.0,5,4,83.2,4.51,71.31
AEG POWER SOLUTIONS PTE. LTD.,261484.0,1,1,88.56,3.57,95.51
AEGIS ENGINEERING PTE. LTD.,1470527.0,7,5,84.92,3.61,77.15
AEGIS INSURANCE AGENCIES PTE. LTD.,2912.5,1,1,88.91,3.97,62.6
AEL TRAVEL PTE. LTD.,460800.0,1,1,93.3,4.27,66.05
AERO-MARINE VEHICLES,1848100.0,5,3,100.0,4.01,78.44
AEROBE PTE. LTD.,132710.0,1,1,78.1,4.36,79.4
AEROLION TECHNOLOGIES PTE. LTD.,148000.0,1,1,100.0,5.0,97.7
AEROPEARL PTY LTD,5582625.0,1,1,72.38,3.8,67.62
AETHA CONSULTING LIMITED,3.0,3,1,86.79,3.07,78.39
AETOS GUARD SERVICES PTE. LTD.,5038036.55,2,2,92.71,4.6,67.41
AETOS SECURITY MANAGEMENT PTE. LTD.,179223455.24,29,20,90.25,5.0,73.07
AETOS TRAINING ACADEMY PTE. LTD.,331550.0,3,3,83.02,4.34,94.84
AFFLE INTERNATIONAL PTE. LTD.,1370460.0,1,1,86.34,3.45,66.64
AFON PTE. LTD.,179700.0,1,1,84.06,4.03,83.87
AFON TECHNOLOGIES PTE. LTD.,301440.0,1,1,83.29,3.43,81.93
AFTERSHOCK PC PTE. LTD.,240854.53,2,2,94.8,4.49,77.76
AGA ARCHITECTS PRIVATE LIMITED,3773000.0,6,3,90.86,3.29,83.19
AGAIN FASTER SG PTE. LTD.,102810.46,1,1,82.46,3.92,66.4
AGAPE CP HOLDINGS PTE. LTD.,3780127.0,1,1,95.2,3.5,94.56
AGAPE PROFESSIONAL DEVELOPMENT CONSULTANCY,5320.0,2,1,90.46,4.18,97.25
"AGAPE, CONNECTING PEOPLE PTE. LTD.",625109.0,4,4,94.5,3.88,78.47
AGAPE-LIFE SUPPORT SYSTEM PTE. LTD.,49680.0,1,1,93.04,4.21,100.0
AGARWAL SUMIT,150000.0,1,1,81.37,4.11,74.01
AGB EDUCATION CENTRE PTE. LTD.,1122.0,1,1,83.52,3.51,82.0
AGE NEONLIGHT & SIGNCRAFTS PTE LTD,75476.0,1,1,93.98,4.48,92.32
AGENCE FRANCE PRESSE,250000.0,1,1,92.88,4.07,73.41
AGENCY,2.0,2,2,87.83,3.51,64.18
AGENDA,449181.0,1,1,88.94,5.0,61.88
AGGASYS SOLUTIONS PTE. LTD.,25297.0,2,2,98.22,4.39,98.61
AGGREKO (SINGAPORE) PTE LTD,1253920.0,1,1,83.27,4.01,72.71
AGILENT TECHNOLOGIES SALES (MALAYSIA) SDN BHD,261033.77000000002,3,1,92.38,4.95,76.14
AGILENT TECHNOLOGIES SALES (MALAYSIA) SDN. BHD.,226090.54,1,1,86.38,5.0,66.87
AGILENT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,7835059.65,24,9,86.26,4.01,87.48
AGILITY FAIRS & EVENTS LOGISTICS PTE. LTD.,2.0,2,2,96.79,4.31,70.18
AGITECH INNOVATIONS PRIVATE LIMITED,4808658.9,3,3,94.6,3.51,73.09
AGOG EXPO PTE. LTD.,170000.0,1,1,94.51,4.01,81.0
AGORIZE ASIA LIMITED,207500.0,1,1,98.44,3.98,67.36
AGORIZE SINGAPORE PTE. LTD.,573333.4,2,1,88.17,4.21,76.21
AGRI OPUS PROBA PTE. LTD.,607801.99,2,2,93.46,4.3,92.02
AGRICULTURAL TRACTORS SPARES PTE LTD,145160.0,3,2,85.52,4.44,82.28
AGS CONSULTANTS PTE. LTD.,9000.0,1,1,90.59,4.24,79.31
AH BOON CIVIL ENGINEERING & BUILDING CONTRACTOR PTE LTD,70913000.0,9,2,86.96,3.37,80.15
AH HONG HOLDINGS PTE. LTD.,537.94,1,1,88.78,3.54,74.11
AH HUA KELONG,26315.0,1,1,92.76,3.77,97.96
AH SENG STAINLESS STEEL PTE. LTD.,131030.0,1,1,81.45,3.93,69.88
AHEAD ENGINEERING SERVICES PTE. LTD.,0.0,1,1,100.0,4.73,80.11
